	p009_MOUSE_Brain_adult	p009_MOUSE_Brain_e17	p009_MOUSE_shGFP	p009_MOUSE_shHRNPDL_3	p009_MOUSE_shHRNPDL_4	p009_MOUSE_shRFP	p021_ESC	p021_NSC	p021_SC	p021_iPSC	p022_EBs_BR1	p022_EBs_BR2	p022_EBs_BR3	p022_ESCs_BR1	p022_ESCs_BR2	p022_ESCs_BR3	p022_MEFs_BR1	p001_BRAIN_S1_SYSY	p001_BRAIN_S2_NEB	p001_BRAIN_S2_SYSY	p005_neural_WT	p005_neural_WT	p011_D-2	p011_D0	p011_D10	p011_D2	p011_D5	p011_siCtrl-BR1	p011_siCtrl-BR2	p011_siFTO-BR1	p011_siFTO-BR2	p027_HS	p027_NM	p010_mESC_WT	p010_mESC_WT_BR1	p010_mESC_WT_BR2
1010001N08Rik	0	0	3.39	0	36.5	0	0	0	0	0	0	16.4	0	0	0	0	9.44	0	0	0	0	0.463928774	0	8.13	7.45	5.07	24.9	4.5	6.85	0	4.48	0	22.1	0	0	0
1110002L01Rik	24.5	72.16	33.81	22.5	66.75	15.35	3.07	17.68	0	18.25	20.9	5.47	0	44.4	0	0	26.01	3.25	2.93	2.66	7.93	8.365503267	2.81	0	0	6.42	4.83	5.52	5.18	7.23	8.48	0	0	10.34	42.52	23.25
1110004E09Rik	19.87	37.8	1.7	2.22	0	0	4.85	1.43	1.48	3.31	0	0	0	6.34	0	0	0	6.11	0	3.38	8.46	9.19357903	79.8	2.53	10.02	4.27	7.36	1.64	1.75	6.69	6.47	0	0	0	0	0
1110004F10Rik	8.96	10.3	2.43	2.32	3.14	2.54	1.31	0	0	1.54	4.25	7.11	0	8.88	5.1	0	7.03	0	0	4.83	4.95	5.137096342	353	6.52	12	6.49	5.81	5.67	4.48	27.9	38	0	0	0	0	0
1110006O24Rik	0	14	0	0	15	0	2.6	0	2.2	0	0	0	0	0	0	0	29	16.3	25.9	10.2	0	0.728952708	0	28.9	55.8	8.76	18	2.93	5.93	0	0	0	0	6.47	15.6	31
1110008F13Rik	66.1	116	5.39	4.28	3.94	5.42	3.94	1.48	0	1.73	29.5	54.96	78.5	80.8	168.08	34.3	50.3	10.7	12.4	10.7	12.1	12.20769852	15.9	24.2	29.3	43.6	17.6	6.97	4.73	0	0	2.4	3.24	2.73	2.15	1.4
1110008L16Rik	46.7	96.6	56.33	47.03	104.51	46.4	0	0	0	3.28	42.96	8.2	25.4	170.8	0	0	86.2	28.5	23.36	26.92	24	24.52256972	0	0	0	0	0	0	0	0	0	0	0	10.81	10.99	7
1110008P14Rik	12.36	14	3.93	0	2.47	3.81	1.46	0	0	0	4.19	13.1	0	17.67	0	0	7.73	8.26	0	3.56	6.94	7.502230395	0	2.61	2.96	2.99	2.51	3.05	5.31	0	0	0	0	0	2.55	3.06
1110012L19Rik	39.7	112	9.7	14.18	40.22	25.79	2.73	0	2.62	4.35	14.4	19.7	0	40.86	0	0	20.1	25.75	10.9	13	22.2	22.29408831	6.93	1.51	4.04	2.13	1.95	2.27	2.79	7.46	8.86	0	0	5.67	7.35	5.88
1110015O18Rik	14	183.8	0	0	0	0	0	26.6	0	0	0	0	0	0	0	0	0	6.62	17.7	10.2	9.64	9.871488727	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.4	25	8.64	9.459173894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	21	15.4	8.82	0	0	0	2.39	0	0	8.82	0	8.2	0	12.7	14.6	14.2	13.2	11.2	47.7	28.8	12.6	13.24307222	0	0	0	0	0	0	0	0	0	0	0	25.3	31.9	40.3
1110020A21Rik	0	0	8.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2	16.4	15.4	26.38	26.68121773	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	8.32	0	0.676288912	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	22.2	22.4	2.8	10.5	0	0	0	0	0	0	0	13.1	0	0	0	0	15.1	0	19.51	6.19	7.2	8.117288617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032F04Rik	70.1	125	0	0	0	0	0	0	0	13.7	0	0	0	122.13	0	0	0	38.7	47.7	42.2	15.4	16.38933471	0	0	0	0	0	0	0	0	0	0	0	20.83	14.52	52.69
1110034G24Rik	131	424	13.9	6.01	15	8.2	2.71	7.25	2.34	7.88	131.3	18.6	13.2	95.2	51	37	32.7	89.6	46	31.4	39.8	39.93297494	0	0	0	0	2.55	3.35	13	0	0	0	0	27.4	11.6	19.2
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.939474514	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	675	743.4	99.84	56.04	46.1	76.64	6.82	15.05	13.5	29.65	540.6	202.13	121.9	199.5	454.58	130.1	281.99	77.57	87	70.78	69.65	70.56614054	1.46	1.45	4.32	3.24	4.27	82.07	21.48	78.13	24.4	0	18.42	50.74	48.28	44.14
1110038B12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712743492	0	0	0	0	0	0	0	0	0	0	0	0	1.58	0
1110038F14Rik	131.7	192	13.2	4.46	13.9	9.37	2.17	6.96	2.03	13.58	79.8	20.86	42.7	82.5	18.79	18.9	19.96	6.38	25.3	8.6	16.21	16.57854752	0	5.57	9.42	7.8	6.01	3.42	3.8	3.37	1.67	0	0	6.4	7.71	5.68
1110046J04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18	0	0	0.26648249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110051M20Rik	25.09	113.82	19.26	10.77	6.06	3.28	4.25	18.07	7.56	3.35	12.2	0	0	31.7	0	0	64.23	0	58.11	8.32	24.85	25.05197113	13	23.5	25.12	15.29	23.62	12.99	18.03	24.55	26.18	0	0	3.6	3.78	3.57
1110059E24Rik	5.25	57.4	2.42	0	1.73	0	0	0	0	0	5.89	0	0	0	5.26	0	3.57	0	0	0	7.43	8.05360827	0	0	1.53	0	0	0	1.96	5.28	3.37	11.8	0	1.25	0	0
1110059G10Rik	33.9	88.2	12.39	15.04	11.58	6.19	1.7	0	0	0	0	0	0	69.8	0	0	2.91	7.84	16.5	12.2	13.4	13.93924023	6	4.29	7.77	7.12	9.04	3.23	5.34	5.32	7.8	0	0	5.02	5.4	3.64
1110065P20Rik	97.2	46.8	8.03	2.29	4.03	11.16	2.99	4.01	1.93	1.94	48.2	113	46.3	53.9	73.3	39.2	30.9	14.2	11.1	9.83	13.9	14.06693491	14.1	43	68.5	27.6	23.5	6.16	7.84	0	0	0	0	8.07	22.15	21.48
1190002N15Rik	208.9	653.1	32.56	75.2	29.91	28.52	0	0	7.05	4.01	102.1	95.1	70.8	247	160	133	81.7	82.4	60.7	36.5	25.4	25.78432624	0	42.73	39.09	33.26	23.82	35.37	45.82	44.6	21.17	0	17.05	39.6	46.8	69.3
1190005I06Rik	28	58.8	19	0	38.6	0	6.67	30	4.68	8.31	92.86	33.7	6.36	95.1	0	0	79.5	34.6	12.26	14.08	16.82	17.11376165	0	43.02	47.66	47.6	41.59	15.34	29.34	0	0	0	0	7.97	30.6	13.72
1190007I07Rik	11.7	0	0	0	0	0	0	0	0	0	5.24	4.92	0	5.29	0	0	5.03	11.2	15.45	6.08	3.1	3.1810843	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300002E11Rik	64.3	145.5	21.7	0	0	0	5.08	4.97	0	10.43	21	0	0	102	0	0	23.9	30.1	92.6	53.1	28.35	28.46832999	0	0	3.65	5.3	12.9	0	0	18.36	0	0	0	17.1	15	8.13
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	25.4	0	0	0	0	0	0	0	0.701126426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500004A13Rik	332.36	376.4	14.2	21	21.4	12.6	0	33.23	0	23.89	39.3	6.01	0	14.8	0	0	32.42	43.8	87.35	48.91	36.17	36.90317469	0	0	0	0	0	5.02	11.3	0	0	0	0	10.77	8.09	0
1500009C09Rik	84.1	84	0	0	0	0	9.01	78.9	2.36	0	0	0	0	0	0	0	0	8.71	33.69	14	17.69	17.75583962	0	0	0	0	0	0	0	0	0	0	0	2.27	18.2	55.8
1500009L16Rik	111	128.8	0	0	0	0	5.44	0	2.03	0	13.1	10.8	0	18.71	0	0	0	3.62	4.77	6.72	10.7	11.1436126	0	0	0	0	0	0	0	0	0	0	0	2.23	1.83	1.65
1500011B03Rik	100.68	241.6	10.7	39.1	6.61	7.71	5.61	2.52	5.07	3.13	39.3	158.59	0	61.23	30.77	8.71	34.6	30.2	35	18	20.49	21.35138595	0	0	3.76	0	6.47	0	0	0	0	0	0	13.2	10.4	20.7
1500011K16Rik	254.5	156.1	21	0	29	0	3.29	2.34	0	0	22.81	16.31	0	94.6	25.51	0	14.5	34.5	23.2	21.7	30.74	30.77953507	0	3.48	9.76	7.26	4.92	2.89	4.19	0	0	0	0	19	13	9.29
1500012K07Rik	0	21	0	0	0	0	0	0	0	0	10.91	0	6.05	0	0	0	0	5.67	3.12	0	1.71	1.835133207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	26.9	26.6	5.47	13.5	19	28.1	2.85	0	2.63	2.33	0	16.4	0	0	0	0	23.3	8.49	28.6	23	13.2	13.45676417	0	0	0	0	0	0	0	0	0	0	0	7.39	17	9.57
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.7	25.25159504	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	0	7	0	0	0	0	0	43.5	0	0	0	0	0	0	0	0	0	0	0	0	2.17	2.700089909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500017E21Rik	0	0	0	0	0	0	0	34.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411473936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500026H17Rik	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	36.8	30.7	32.4	33.23788899	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0	0.27522795	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002H07Rik	18.67	72.8	12.79	25.69	11.35	17.01	8	6.08	2.01	5.22	57.6	42.6	9.08	36.49	0	10.9	31.83	17.04	38.22	35.61	15.21	16.16819091	0	5.93	15.26	10.7	8.32	3.69	0	2.23	4.13	0	0	6.27	11.73	12.18
1600002K03Rik	0	0	3.33	0	0	3.81	2.46	0	0	2.19	0	0	0	0	0	0	0	14.3	4.54	4.48	4.49	5.044891984	16.9	0	3.54	4.04	1.68	3.59	5.25	3.87	3.95	0	0	2.27	0	0
1600010M07Rik	0	0	0	0	0	0	0	0	0	0	4.11	0	0	0	0	3.81	0	13.5	12.3	0	0	0.200713501	0	0	0	0	0	0	0	0	0	0	3.84	0	0	0
1600012H06Rik	201.8	507.6	23.49	43.2	28.8	28.7	4.09	10.75	7.19	12.19	103.64	331	130	158.9	124	346	189	31.4	66.9	33.8	46.89	47.36879616	0	7.81	9.94	6.42	14.8	4.8	36.59	25.21	1.57	5.34	28.3	47.7	43.73	48.62
1600014C10Rik	146	64.4	11.18	47.4	13.9	12	3.33	0	2.16	5.09	0	24.6	0	38.1	24.3	0	26.1	19.6	19.3	11.6	20.09	20.35048224	0	0	3.97	2.22	6.02	2.24	2.91	2.09	0	0	0	14.1	9.54	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0.549325603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600023N17Rik	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.81	0	20.4	14.1	11.8	12.03310852	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0
1600029I14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.0782088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	77	162.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.13	47.7	40.9	45.3	45.33249962	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.8	0	0	0.853009282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	0	0	0	0	0	0	0	0	0	13.1	0	0	0	0	0	0	28.6	0	0	0.272942027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0.551320036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	3.89	13.3	3.28	9.4	5	2.58	0	0	0	0	0	0	0	0	0	0	3.15	0	27.3	19.2	9.33	10.2349064	0	0	4.72	0	0	9.21	0	0	0	0	0	3.08	0	24.8
1700001G17Rik	18.7	47.6	17.6	0	0	0	0	12.1	0	12	15.7	0	0	0	0	0	20.8	0	30	14.1	15.7	16.44443923	0	7.23	23.9	37.1	39.7	6.03	3.56	16.8	29	0	0	11.7	0	0
1700001J11Rik	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.9	0	17.56	17.87770051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	4.18	10.5	4.73	13.58	0	0	0	0	0	0	8.18	0	24.58	0	3.78	4.010791931	0	0	0	0	0	0	0	0	0	0	0	27.2	0	0
1700001L05Rik	93.4	33.6	0	0	0	0	6.52	21	0	42.09	99.4	93.2	105.8	163.3	79.5	64.8	8.18	54.56	210	74.9	35.7	35.75260489	0	0	0	16.5	4.31	0	0	0	0	0	0	35.1	57.6	80.79
1700001L19Rik	47.29	65.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.54	21.84	20.39	16.3	16.70234605	0	0	0	0	0	0	0	0	0	0	0	6.8	20.8	0
1700001O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.57	6.4	4.08	4.684230874	3.51	39.45	46.06	24.76	106.45	8.93	16.34	0	0	0	0	0	0	0
1700001P01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.7	0	0	0.910419093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.4	0	0	0	0.376132201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	11.3	0	0	0	0	0	0	0	0	0	5.67	22.46	8.56	6.62	7.1830446	0	0	0	150.5	73	0	0	0	0	0	0	0	0	0
1700003E16Rik	196.6	70	0	0	0	0	13.56	31.4	0	8.42	0	0	0	0	0	0	53.5	54	39.1	47.58	39.75	40.31077012	0	21.08	79.95	39.2	85.9	18.04	15.48	0	0	0	0	31	0	0
1700003F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.55	0	16.4	0	0	0.193667694	0	0	8.85	0	12.9	0	3.36	0	0	0	0	0	0	0
1700003M07Rik	47.23	58.8	0	0	0	0	2.36	39.5	0	12.8	35.7	0	7.79	10.6	0	0	0	19.54	55.49	34.15	18.74	19.1773511	0	0	0	0	0	0	0	0	0	0	0	5.69	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0.781216064	0	0	0	0	0	0	0	19.8	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4	8.32	11	11.74595449	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	0	0	9.5	0	19.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778662747	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007J10Rik	0	0	0	2.92	0	0	0	6.94	1.28	8.75	0	0	0	0	0	0	0	6.72	6.47	0	0	0.166715333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	24.5	18.2	0	0	0	0	4.95	10.5	0	1.67	421	94.3	28.1	80.9	68.6	31.6	0	0	20.4	13.4	8.51	9.005906549	0	0	0	0	0	0	0	0	0	0	0	7.79	4.36	5.74
1700007P06Rik	0	7.7	0	0	0	0	0	0	0	3.1	2.44	2.38	3.71	0	0	0	0	9.29	73.6	20.5	11.5	11.68768914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	40.9	65.8	19	17.3	28.9	25.49	3	16.25	2.99	22.69	39.2	13.1	30.9	38.1	27.9	9.8	49.7	38.73	45.7	33.22	46.9	47.50877015	0	3.47	14.06	2.9	39	23.85	13.59	0	0	0	0	13.3	27.05	24.43
1700008O03Rik	0	0	0	0	0	0	3.86	0	0	0	0	0	0	0	0	0	0	0	53.2	13.4	0	0.263894936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	22.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.809321333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7	0	0	0.935880404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	16.8	0	0	0	0	6.14	0	0	0	0	0	0	0	0	0	0	0	16.4	9.6	6.86	7.13809102	22.5	159	23	16.5	17.6	12.6	12.5	46.6	82	0	0	0	0	0
1700010I14Rik	7.01	0	0	0	0	0	0	0	3.68	0	20.9	0	0	0	0	0	0	0	8.86	4.91	38.7	39.43962371	0	0	2.78	4.24	25.4	3.92	3.84	4.9	8.01	0	0	4.16	0	0
1700010K23Rik	0	0	0	0	0	0	0	17.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239120017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.747328645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.9	10.2	0	0.128207486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9	0	7.68	7.974617668	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3	0	0	10.9	3.29	4.104266769	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4	0	0	0.708690996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	31.4	0	0	0	0	0	0	0	0	0	0	0	58.7	0	0	0.864568416	0	0	0	0	0	0	0	0	0	0	0	34	0	0
1700013H16Rik	0	0	0	0	0	0	2.75	0	0	1.99	0	0	0	0	0	0	0	0	0	0	0	0.617127429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4	0	0	0.227535689	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	2.82	0	0	6.53	0	4.02	21.8	4.8	0	0.497277218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	33.9	26.6	0	0	0	0	7.15	0	0	0	0	0	0	25.4	0	0	0	9.17	13.6	17.3	14.1	14.59851283	0	0	0	0	0	0	0	0	0	0	0	4.32	0	0
1700017B05Rik	365.5	447.4	71.79	110.85	100.05	111.4	8.44	25.79	6.79	36.56	302	475	418.7	443	693.9	324.6	137.1	153.7	125.4	106.2	60.7	61.02925464	2.59	20.86	29.18	32.26	16.9	43.73	49.58	22.45	15.73	48.1	27.77	46.5	76.15	81.88
1700018B24Rik	0	11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903170506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4	0	23.6	24.44168865	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	25.7	21	13.6	15.8	11.8	3.4	0	0	0	0	0	0	0	25.4	0	0	9.44	0	0	0	11.5	12.2650435	0	95.8	127	21	103	15.78	16.5	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.723239531	0	0	0	0	0	0	0	0	0	0	0	3.78	0	0
1700019B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0.01855108	0	0	0	0	0	0	0	0	0	0	0	16.6	0	0
1700019D03Rik	74.7	28	0	0	0	0	8.51	28.17	0	5.42	103.4	110.1	55.4	205.9	134.2	398	0	170.2	41.6	40.8	54.1	54.57968591	0	0	0	0	0	0	0	0	0	0	0	17.93	25.2	19.83
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43	3.512246733	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.8	16	0	0.728599351	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3	0	0	0.982770558	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.809050458	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0	0	12.1	0	9.74	0	0	0	0	0	0	25.2	23.4	7.5	0	7.2	7.412668595	0	0	0	16.5	0	6.7	17	0	0	0	0	2.91	0	0
1700020G17Rik	0	4.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12522978	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	185	215	24.36	22.17	16.67	17.95	4.18	5.58	2.88	9.81	69.63	126.11	272.77	164.3	115.71	109.4	132.6	32.7	36.17	17	25.5	25.88721569	0	0	0	0	0	13.4	11.62	26	39.1	8.02	5.3	24.2	17.74	13.92
