	hybase1	hybase1	hybase1	hybase2	hybase2	hybase2	hybase2	hybase2	hybase2	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase10	hybase10	hybase10	hybase10	hybase10	hybase10	hybase32	hybase32	hybase32	hybase41	hybase41	hybase41	hybase41	hybase41	hybase41	hybase45	hybase45
ABCA7	4.62	5.34	13	82.9	229	6.91	22.9	20.1	0	24.3	0	0	0	18.1	12.7	17.4	7.44	21.5	5.13	10.1	18.6	15	14.4	24.7	14.5	6.22	9.89	0	4.31	3.29	4.42	5.78	7.89	7.93	47.02	54.01
ABCA9	0	0	0	0	0	6.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	11.6	6.34	0	44.8	0	0	19.5	17.5	0	22	13.6	9.46	16.8	38.8	33.9	7.31	0	6.42	6.66	0	0	0	0	0	0	0	0	0	0	0	0	2.09	0	0	65.2	218
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92	34.2
ABCB5	0	0	0	0	0	10.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	0	0	0	0	0	16.98	0	0	8.67	0	6.98	0	0	0	68.93	72.2	28.26	19.27	7.3	8.02	16.79	11.07	7.98	6.7	13.97	46.35	0	6.29	6.48	9.64	6.76	0	6.28	27	135.5
ABCB7	4.47	3.7	0	0	0	0	0	0	0	4.24	11.4	2.56	0	5.27	6.52	0	2.55	4.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	32.36	12.61	74.5	18.7	45.89	16.4	23.18	20.2	0	17.05	0	0	0	24.4	0	28.83	13.03	33.77	24.35	33.56	33.81	15.51	26.9	44.85	30.9	14.58	29.89	2.51	13.16	11.83	15.54	10.09	10.03	14.44	25.35	29.33
ABCB9	10.9	5.57	23.82	0	11.6	0	16.7	0	0	0	0	0	0	0	0	0	28.9	7.63	31.5	6.57	25.76	0	14.7	3.99	14.7	0	0	0	2.89	0	22.21	10.58	0	0	38.58	49.06
ABCC1	39	29.27	141.01	28.5	92.55	11.63	49.6	69.9	0	19.52	27.49	24.03	26.45	35.18	27.3	33.68	20.19	24.2	14.69	62.65	38.47	75.17	54.6	52.16	68.41	19.57	17.86	5.71	12.59	12.81	12.43	18.56	12.96	8.14	29.15	24.47
ABCC10	11.8	11.8	105.5	12.2	94.6	0	25.5	14.7	0	11.51	12.2	5.55	7.22	9.94	0	21	32.72	17.3	30.37	97.67	23.1	16.2	24	32.5	71.7	0	6.63	2.51	7.34	12.7	4.61	6.79	9.43	10.36	47.52	49.55
ABCC2	0	0	0	0	28.81	0	2.43	0	0	0	0	0	0	0	0	1.9	5.24	2.89	7	0	0	0	0	0	0	3.28	0	0	0	0	0	0	0	0	0	0
ABCC3	0	0	0	9.17	0	0	11.14	0	0	0	0	0	0	0	0	3.87	3.68	5.45	6.09	0	0	0	0	0	0	13.44	12.32	0	0	0	0	0	3.54	2.56	0	0
ABCC4	2.62	0	0	0	8.17	0	2.09	0	0	0	0	0	0	0	19.4	14.4	0	3.33	1.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	167
ABCC5	14.18	15.87	16.6	10.5	7.15	0	20.71	0	0	9.31	9.28	25.35	11.5	40.4	17.74	8.99	29.3	3.35	8.54	12.3	25.71	11.92	19.77	24.85	13.17	0	0	0	5.68	9.8	9.78	11.81	14.49	5.41	29.4	22.18
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.25	7.63
ABCC6P1	8.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.35	42.48
ABCC9	4.25	16	17	0	0	5.59	0	0	0	25.8	8.45	19.6	20.02	40.29	10.64	8.11	50.15	16.3	10.83	17.5	2.6	15.9	23.3	5.99	7.73	0	0	0	0	2.36	0	0	0	0	0	0
ABCD1	20.51	4.45	99.1	16.4	162.27	4.81	15.87	43.2	0	3.39	0	0	0	23.4	25.08	6.29	11	0	21.72	20	51.1	27.35	21.96	33.34	56	16	23.91	2.26	6.33	10.08	6.3	9.21	11.13	16.61	202.53	158.48
ABCD2	26.1	16.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	7.15	0	0
ABCD3	0	0	0	0	0	0	4.91	0	0	0	0	0	0	0	0	4.12	0	4.39	3.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	5.27	4.48	18.2	0	0	0	8.5	0	0	3.26	6.13	5.67	14.1	3.46	4.03	30.93	18.57	6.32	13.86	9.03	14.4	10.6	8.71	11.5	11.9	3.5	5.26	2.42	6.25	4.73	4.6	3.66	9.62	6.35	8.79	7.13
ABCE1	0	0	0	0	0	0	0	0	0	3.44	8.06	2.95	1.78	2.2	11.38	5.09	4.39	0	2.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	20.49	17.01	15.14	82.2	130.73	21.1	33.06	43.6	0	15.14	21.65	26.94	21.16	16.27	19.61	65.16	27.05	19.96	15.29	13.52	18.78	21.05	22.56	21.03	14.63	58.76	49.8	11.96	14.05	10.51	19.44	17.48	18.53	15.9	9.39	10.11
ABCF2	18.28	18.28	24.98	51.6	71.38	13.86	17.97	49.3	0	10.92	32.44	17.2	13.48	21.39	10.76	17.87	9.31	16	14.29	16.18	18.65	9.87	13.09	13.71	7.64	12.22	9.01	5.66	5.96	7.6	8.45	10.3	10.36	7.62	11.53	11.55
ABCF3	6.76	5.71	0	29.9	42.24	0	12.4	18.2	0	5.6	3.7	5.84	25.2	4.09	5.36	0	11	14.4	7.73	2.19	2.04	2.92	3.36	2.86	2.17	11.64	15.01	2.65	7.15	6.89	6.16	4.14	6.67	8.14	3.19	4.86
ABCG1	36.26	14.2	0	0	0	12.5	40.35	0	0	11	0	0	0	15.06	0	8.39	19.5	0	17.03	5.55	20.6	8.85	12.3	20	16.2	0	8.48	0	2.76	3.2	2.16	2.71	3.96	2.22	15.8	12.8
ABCG2	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	7.08	4.51	2.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3	15.9
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6	13.5	0	28.7	42.59	19.1	0	0	0	0	0	0	0	0	0	26.6	36
ABHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ABHD10	3.93	2.53	0	0	0	0	9.33	0	0	4.19	3.29	13.39	3.53	13.38	6.17	49.95	8.71	16.31	10.95	0	0	0	0	0	0	0	4.87	0	1.68	1.58	3.79	5.09	0	3.95	0	0
ABHD11	19.7	12.6	69.93	13.3	9.53	7.63	29	22.2	0	19.9	11.7	16.3	26.1	11.7	39.3	28.3	28.9	7.28	22.7	66.12	99.21	46.52	56.7	57.89	24.9	12.82	18.12	5.54	6.06	16	4.35	7.05	3.89	7.99	16.15	12.46
ABHD11-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0	0	0	0	14.4	11
ABHD12	10.1	5.18	14.9	15.6	30.6	4.06	14.9	43	0	4.17	7.17	0	5.67	10.4	3.89	4.68	3.07	6.66	6.53	19.6	16.9	14.6	15.6	16.2	12.3	11.3	13.1	2.36	6.07	4.9	6.64	6.52	5	7.32	69	121.2
ABHD13	28.9	30.1	10.49	98.87	0	0	175.72	27.1	0	26.88	122.6	42.5	57.47	48.66	152.5	87.07	122.57	42.4	29.2	45.8	113.48	18.2	21.66	39.14	13.74	0	0	0	7.5	10.66	10.16	14.84	2.86	5.47	4.03	15.9
ABHD14A	8.02	4.34	3.88	11.6	16.3	0	14.7	0	0	3.94	0	6.1	26.5	9.26	33.9	2.86	0	5.13	9.88	13.9	14.8	3.36	7.18	12.7	4.21	8	4.71	4.86	0	2.58	0	0	2.72	3.67	112.54	44.8
ABHD14B	0	0	0	0	23.17	0	3.86	0	0	0	0	0	0	0	0	12.8	22.97	0	0	0	0	0	16.4	0	0	0	2.56	0	0	0	0	0	1.55	1.98	23.65	46.91
ABHD15	40.8	47.47	360.15	43.6	34.09	2.41	44.3	36.2	0	35.27	0	47.03	69.8	10.8	0	66.4	67.52	59.5	33.4	44.4	69.42	54.88	58.01	40.03	69.29	27.48	31.88	3.77	18.35	23.2	13.27	25.37	13.74	19.92	190.11	220.63
ABHD16A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8	0	13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71	2.41	10.1	13.33
ABHD16B	21.64	34.3	107	14.27	41.5	10.4	20.18	23.5	0	19.3	0	14.1	15	75.61	26.41	0	17	9.37	27.67	34.35	48.66	14.77	64.6	88.43	56	11.09	22.85	9.73	7.44	4.58	11.94	25.1	10.59	26.1	102	40.9
ABHD17A	15.1	22.7	61.1	0	47.17	0	27.2	22.8	0	18.45	5.17	14.93	8.24	13.14	7.49	10.39	25.5	18.29	18.24	34.66	29.59	42.66	56.78	31.31	52.92	39.72	74.81	21.22	14.04	20.28	21.85	24.72	5.52	8.18	187.94	132.74
ABHD17B	11.8	14.9	24.46	45.57	0	0	39.86	16.8	0	9.63	10.5	18.75	51.54	8.09	11.69	38.13	11.34	7.49	12.2	25.1	31.07	18.63	25.1	20.6	12.67	0	0	0	9.11	12.14	12.45	14.35	2.86	8.9	40.7	286
ABHD17C	24.8	16.82	0	33	22.14	35.4	27.8	27.9	0	5.48	19.52	18.65	21.63	25.42	9.99	6.33	0	33.52	14.51	0	0	0	0	0	0	0	4.2	0	0	0	0	0	0	0	74.8	41.5
ABHD18	6.71	5.79	0	0	0	0	0	0	0	0	0	12.6	10.2	4.7	9.08	0	0	7.08	4.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42	6.87
ABHD2	5.08	2.9	3.39	0	0	5	3.61	0	5.36	14.67	0	27.7	7.13	14.49	0	26.54	25.3	12.58	18.37	8.67	13.7	11.8	11.6	7.99	9.26	3.01	2.46	2.69	11.09	6.71	5.56	4.15	5.31	21.8	4.89	4.88
ABHD3	2.77	1.83	0	0	8.17	0	4.82	0	0	0	0	0	0	0	0	9.59	15.3	0	3.93	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	54.4	90.3
ABHD4	4.89	2.64	0	0	0	0	6.13	0	0	6.36	2.89	0	3.41	4.28	4.54	9.3	7.11	4.11	10.48	0	1.39	0	1.7	1.68	0	3.1	7.39	0	2.22	0	0	2.01	0	0	0	0
ABHD5	9.53	5.7	4.29	0	0	0	11.31	0	0	8.49	12.41	5.11	8.74	8.63	11.5	0	0	8.57	7.95	0	2.71	0	0	0	0	0	0	0	2.18	0	2.46	3.6	0	0	0	0
ABHD6	12.2	6.6	0	14.37	10.2	0	8.06	0	0	31.3	9.28	8.88	21.67	18.12	16.9	6.74	3.93	11.8	14.7	3.82	6.2	3.33	2.91	6.15	0	6.48	2.73	0	0	0	4.81	0	0	6.58	14.42	19.18
ABHD8	12.78	9.75	102.89	12.2	43.6	0	9.16	18.2	0	4.38	0	0	33.6	9.01	0	0	0	16.65	21.6	10.6	14.3	11.9	12.8	18.8	16.9	9.07	31.71	0	5.62	8.29	7.99	8.32	7.74	9.71	59.9	114.4
ABI1	3.84	4.38	0	0	8.85	0	0	0	0	0	0	0	5.41	0	0	58.1	42.5	6.24	18	0	0	0	0	2.22	0	0	0	0	6.43	6.92	10.9	6.66	5.23	5.09	0	0
ABI2	13.84	12.91	9.06	0	0	13.4	47.58	0	0	5.61	8.52	29.43	14	15.68	19.29	2.35	0	10.35	6.7	13.1	6.37	3.76	12.36	6.84	17.7	0	0	0	3.7	3.86	3.39	0	2.18	2.94	10.8	0
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.67	0	0	12	0	0	0	0	3.86	0	11.3	0	17.34	27.06	0	0
ABI3BP	0	0	0	0	0	0	0	0	0	0	0	0	11.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	30.64	28.4	125.19	48.6	169.17	23.12	53.84	100.4	0	39.26	47.81	40.99	28.87	30.11	27.33	34.29	22.95	30.93	31.54	36.14	22.55	30.05	23.97	25.15	19.92	21.27	18.51	17.74	9.92	13.29	9.32	12.98	17.74	22.01	45.03	61.39
ABL2	17.8	19.3	147.43	186.7	88.7	39.09	39.3	91.4	16.6	29.56	45.67	69.78	51.04	69.53	33.56	163.9	64.1	74.9	20.2	36.5	34.84	54.16	41.75	26.51	43.79	0	0	14.53	19.27	24.19	13.73	15.14	23	17.32	77.32	107.38
ABLIM1	6.9	6.72	13.38	6.96	8.17	0	4.61	14.4	3.69	6.27	3.55	4.88	14.6	9.79	10.45	13.21	10.04	9.42	7.24	4.6	5.36	1.89	5.2	4.78	2.52	0	0	0	5.5	7.53	6.78	7.53	5.07	6.12	0	9.77
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	15.81	0	0	0	0	0	0	8.94	17.7	16.4	31.9	0	0	0	0	8.48	0	0	0	0	0	23.8	4.73
ABLIM3	0	0	0	0	0	0	0	0	0	0	0	13.3	99.4	0	0	5.56	5.34	24.3	5.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11.9	0	0
ABR	11.48	9.99	73.21	19.26	26.53	13.4	11.97	18.1	0	9.08	31.7	28.9	14.49	30.7	18.06	12.88	12.65	18.47	16.32	27.74	41.37	21.1	31.57	33.19	20.35	23.65	19.86	11.28	12.21	14.8	16.84	18.1	19.91	17.68	132.43	128.88
ABRACL	0	0	0	0	0	0	0	0	0	6.71	2.4	2.96	3.13	4.24	0	15	7.82	5.78	2.16	4.42	4.96	6.19	4.75	3.92	2.66	0	0	0	2.42	2.49	1.99	2.55	3.71	3.22	0	0
ABT1	10.16	7.25	47.87	8.62	116.94	9.61	17.08	31	0	8.01	5.8	11.8	14.29	17.41	15.28	7.07	22.61	14.74	12.83	51.8	32.6	28.7	31.7	28.8	22.03	15.55	23.81	8.82	14.05	15.81	11.34	10.02	9.49	12.64	27.3	30.3
ABTB1	3.13	0	12.8	0	11.6	0	17	0	0	0	0	0	4.09	11.7	2.81	8.54	3.21	0	8.87	9.06	8.27	7.2	6.06	6.86	9.94	2.41	8.87	0	3.72	4.24	3.53	4.75	4.68	8.51	16.25	12.09
ABTB2	25.6	18.85	153	10.5	29.59	0	8.08	7.48	0	3.18	0	0	0	5.24	0	19.09	13.15	14.36	16.25	23.2	58.5	37.2	49.3	21.2	12.52	13.59	20.4	0	5.65	10.1	25.9	18.51	4.67	0	79.2	71.44
ACAA1	2.23	1.84	0	0	0	0	0	0	0	2.43	0	3.5	4.49	6.32	12.7	7.49	4.67	3.54	3.58	0	0	0	0	0	0	5.74	2.65	0	1.42	0	1.64	1.61	2.15	3.32	15.4	16.4
ACAA2	2.37	0	0	0	0	0	4.63	0	0	0	3.32	5.46	11.69	0	13.9	9.02	71.4	16.64	2.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02
ACACA	17	13.36	49.9	26.92	44.56	4.03	23.62	18.5	0	12.93	7.7	9.19	15.51	39.54	12.62	10.8	2.62	14.03	38.33	16.2	25.9	19.74	34.41	28.13	35.3	0	9.43	2.27	5.4	6.61	7.48	6.41	7.62	10.3	14.79	15.81
ACACB	10.1	12.2	132	0	0	16.8	19.8	0	0	20.8	13.9	0	0	37.9	0	11.7	10.2	22.9	46.68	69.73	52.31	22.1	38.7	43.92	44.99	2.82	5.9	0	10	0	0	0	18.28	23.89	16.63	33.04
ACAD10	10.25	0	18.6	0	0	0	6.54	0	0	0	0	0	0	19.38	0	3.42	3.68	31.24	6.22	9.69	7.83	9.82	6	7.75	5.89	0	2.44	0	2.54	0	3.32	0	3.43	3.71	19.92	30.1
ACAD11	5.85	5.01	7.3	0	0	4.32	7.56	0	0	0	0	0	0	3.16	0	22.2	0	0	0	0	0	0	0	0	6.38	0	0	0	2.18	0	2.89	2.72	2.85	3.68	3.5	7
ACAD8	10.81	10.15	19.16	0	10.9	0	20.6	0	0	12.22	16.15	16.75	16.79	13.64	7.26	3.6	19.5	11.1	15.89	8.15	12.73	10.22	10.44	13.32	3.06	0	4.98	3.55	7.93	12.33	7.88	10.13	6.41	3.48	6.69	9.66
ACAD9	9.37	6.52	22.01	3.03	34.05	0	21.23	39.2	0	5.35	4.96	4.69	15.66	6.89	6.88	2.7	21.4	14.51	5.68	15	9.04	6.72	15	11.8	17.1	3.43	2.01	2.49	12.37	10.9	4.98	4.34	7.45	11.3	17.95	14.9
ACADL	10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	3.5	0	0	0	0	0	9.07	0	0	3.28	4.25	0	3.62	3.87	8.35	10.2	8.21	6.83	3.2	0	2.39	3.83	0	4.18	0	0	0	0	1.75	3.32	0	2.35	0	2.85	20.5	11.6
ACADS	4.97	5.71	45.6	0	15	0	14.4	0	0	0	0	0	0	22.6	0	7.49	11.86	8.15	11.7	39.4	21.8	22.6	31.3	32	19.1	13.1	23.6	0	3.28	3.81	5.07	4.94	6.19	16.26	66.3	103.7
ACADSB	18.52	20.95	4.15	0	0	19.92	17.6	10.9	0	43.2	21.61	79.61	23.96	56.93	45.65	33.42	29.09	50.5	40.97	17.26	14.02	5.75	11.86	15.37	11.3	0	0	0	0	0	4.48	4.96	0	0	0	0
ACADVL	4.83	4.07	6.53	3.36	121.42	0	6.19	20.2	0	37.42	6.28	11.1	9.13	3.67	3.87	11.4	9.35	8.67	3.47	2.54	6.08	4.89	0	7.46	4.81	40	82	2.37	2.85	2.92	3.98	3.06	3.8	6.88	43.3	67.75
ACAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.4	0	0	0	0	74.5	120.3	0	69.09	116.79	19.1	0	0	0	0	0	0	0	0	0	72.39	58.31
ACAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01	6.58	4.79	4.73	8.76	8.5	9.35	8.85
ACAP2	0	0	0	0	12.9	4.53	0	0	0	0	10.1	0	0	0	39.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.53	64.1
ACAP3	0	2.31	0	0	5.45	0	2.17	0	13.8	0	0	0	0	0	1.94	0	0	0	0	0	0	2.99	0	2.42	0	7.11	6.54	0	2.09	3.98	4.73	4.67	5.22	5.19	73.43	107.24
ACAT1	0	0	0	0	0	0	5.33	0	0	0	0	4.7	0	0	0	22.2	20.1	3.06	2.75	0	0	0	0	0	0	18	5.22	0	0	0	0	14.9	0	0	0	0
ACAT2	0	0	0	0	12.9	0	4.11	0	0	0	0	0	0	2.86	3.63	12.6	11	7.28	6.29	3.1	4.28	2.86	6.5	9.2	4.12	0	0	0	0	0	0	0	0	0	41.7	19.5
ACBD3	11.98	9.54	20.9	24.9	4.43	8.34	13.97	25.85	0	8.93	17.21	20.07	23.35	10.58	15.53	18.65	14.15	13.39	12.58	14.31	14.87	12.24	9.95	12.37	11.26	3.66	6.43	6.95	13.68	13.71	11.99	16.71	10.16	17.36	45.52	63.5
