	batch1_group1	batch1_group2	batch1_group3	batch2_group1	batch2_group2	batch2_group3	batch3_group1	batch3_group2	batch3_group3
ACCS	14.3	10	0	0	0	0	8.22	0	0
ACD	0	0	4.05	0	0	0	0	0	0
ACE	0	0	0	0	0	0	0	0	0
ACER2	25.92	11.9	0	0	0	0	26.62	0	0
ACER3	4.06	3.05	0	0	0	0	0	0	0
ACHE	10.8	12.5	0	0	0	0	0	0	0
ACIN1	25.33	11.36	4.64	0	190	0	7.65	0	0
ACKR1	0	0	0	0	0	0	0	0	0
ACKR2	0	0	0	0	0	16.19	0	0	0
ACKR3	0	0	0	102.3	85.9	37.52	148.7	19.22	0
ACLY	0	0	0	16.3	87.1	0	0	0	0
ACO1	0	0	0	0	0	0	0	0	0
ACO2	18.19	12.7	111.08	22.7	93.19	14.97	22.24	130.6	0
ACOT1	3.39	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	10.8	0	0
ACOT13	13.13	4.39	0	0	6.47	0	96.6	0	0
ACOT2	5.21	6.33	36.1	22.8	42.9	25.9	20.6	39.6	0
ACOT7	0	0	0	0	28.26	0	10.12	0	0
ACOT8	0	0	0	0	0	0	0	0	0
ACOT9	2.23	0	0	0	13.6	0	0	0	0
ACOX1	0	0	0	0	0	10.02	0	0	0
ACOX3	5.82	11.7	15.3	0	0	0	5.98	0	0
ACOXL	0	0	0	0	0	0	0	0	0
ACP1	0	0	0	0	7.49	0	0	0	0
ACP2	12.6	12	55	26	21.8	14.3	22.39	35.3	0
ACP5	0	0	0	0	0	0	0	0	0
ACP6	2.18	2.46	2.99	0	12.9	0	2.38	0	0
ACP7	0	0	0	0	0	7.67	0	0	0
ACPP	0	0	0	0	0	0	0	0	0
ACPT	0	0	0	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0	0
ACRV1	5.04	4.45	0	0	0	0	0	0	0
ACSF2	0	0	0	0	0	0	15.6	0	0
ACSF3	11.06	6.81	10.31	0	26.55	0	14.56	12.7	0
ACSL1	2	0	0	0	0	0	0	0	0
ACSL3	5.13	2.44	0	0	17.7	0	4.23	0	0
ACSL4	2.14	2.4	0	0	0	0	0	0	0
ACSL5	0	0	0	0	0	0	0	0	0
ACSL6	0	0	0	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0	0	0	0
ACSM4	0	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0	0	0
ACSS2	0	0	0	0	5.45	0	0	0	0
ACSS3	0	0	0	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0
ACTA2	0	0	0	0	0	0	0	0	0
ACTB	6.06	4.22	7.01	12.85	2411.15	2.61	9.83	13.69	6.36
ACTBL2	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	0
ACTG1	0	0	0	39.7	198	8.18	13.98	19.46	4.65
ACTG1P17	0	0	0	0	0	10.8	0	0	0
ACTG1P20	28.2	12.42	58.4	8.41	0	11.55	15.18	0	0
ACTG1P4	16.68	0	0	0	0	0	0	0	0
ACTG2	0	0	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0	0	0
ACTL6A	0	0	0	0	8.85	0	0	0	0
ACTL8	0	0	0	0	0	0	12.5	11.2	0
ACTN1	4.42	3.33	1.98	9.17	223.3	0	18	0	0
ACTN1-AS1	0	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	0	0	0	0	0	0
ACTN4	11.09	9.82	13.7	0	202.6	0	6.03	15.32	0
ACTR10	0	0	0	0	0	7.67	0	0	0
ACTR1A	13.36	10.95	12.62	16.7	100.48	6.77	47.16	29	0
ACTR1B	0	0	0	0	0	0	13.83	0	0
ACTR2	3.99	3.8	3.58	19.89	10.2	6.77	11.02	47.8	0
ACTR3	0	0	0	0	40.8	0	0	0	0
ACTR3B	0	0	0	0	0	0	6.16	0	0
ACTR3C	0	0	0	0	0	0	0	0	0
ACTR5	12.3	12.6	18.9	16.3	32	12.5	32.2	35.4	0
ACTR6	0	0	0	0	0	0	14.5	0	0
ACTR8	14.78	10.79	4.83	0	12.3	0	15.51	6.34	0
ACTRT3	19.8	10.9	5.2	9.17	0	0	12.8	0	0
ACVR1	19.7	16	32.3	72	56.5	16.8	20.3	13.8	20.7
ACVR1B	20.1	17.7	21.9	6.12	19.7	0	72.13	19.8	0
ACVR1C	0	0	0	0	0	0	0	0	0
ACVR2A	18.5	15.7	10.9	19	0	0	51.6	0	0
ACVR2B	10.2	11.6	11.09	18.34	0	0	34.25	0	0
ACVR2B-AS1	0	0	0	0	0	9.93	0	0	0
ACVRL1	0	0	0	0	0	6.48	0	0	0
ACY1	0	0	0	0	0	0	4.85	0	0
ACYP1	3.45	2.06	0	0	0	0	5.78	0	0
ACYP2	6.59	2.57	16.1	0	0	0	0	0	0
ADA	0	0	0	0	0	0	3.52	0	0
ADAD2	0	0	0	0	0	0	0	0	0
ADAL	0	0	0	0	0	0	0	0	0
ADAM10	11.77	6.07	0	11.2	0	9.36	10.5	0	0
ADAM11	9.03	6.95	11.7	0	0	0	7.31	0	0
ADAM12	0	0	0	0	0	0	0	0	0
ADAM15	2.12	0	4.46	0	57.8	0	1.65	0	0
ADAM17	30.72	11.8	85	57.2	100	8.21	37.4	57.7	0
ADAM19	0	0	0	0	0	0	0	0	0
ADAM1A	44.12	45.87	69.13	25.2	0	0	46.2	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0
ADAM22	17.06	9.72	0	0	0	0	0	0	0
ADAM23	21.86	10.6	9.64	0	0	0	0	0	0
ADAM28	0	0	0	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0	0
ADAM9	2.04	0	0	8.83	2.87	0	6.4	0	0
ADAMTS1	28.46	20.5	52.88	34	40.15	30.7	62.35	49.9	0
ADAMTS10	0	0	0	0	0	0	0	0	0
ADAMTS12	0	0	0	0	0	0	0	0	0
ADAMTS13	0	0	0	0	0	0	0	0	0
ADAMTS14	0	0	0	0	0	0	0	0	0
ADAMTS15	76.82	62.64	577.2	13.9	36.07	0	46.2	18.1	0
ADAMTS16	0	0	0	0	0	0	0	0	0
ADAMTS17	19.4	20.74	0	0	0	15.5	0	0	0
ADAMTS18	0	0	0	0	0	0	0	0	0
ADAMTS19	3.84	0	0	0	0	0	0	0	0
ADAMTS2	9.64	0	0	0	0	3.33	0	0	0
ADAMTS3	35.56	23.52	13.5	0	0	0	0	0	0
ADAMTS4	0	0	0	0	0	6.26	0	0	0
ADAMTS5	0	0	0	67.2	33.32	13	128.28	12.7	0
ADAMTS6	9.95	3.62	0	0	0	0	0	0	0
ADAMTS7	41.53	17.8	62.3	0	0	0	20.8	0	0
ADAMTS7P1	0	0	0	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0
ADAMTS9	34.94	15.28	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0	0	0
ADAMTSL2	0	0	0	0	0	10.8	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0
ADAMTSL4	0	0	0	12.6	9.87	0	9.02	10.9	0
ADAMTSL5	8.08	0	0	11.6	19.7	4.66	14.1	0	0
ADAP1	5.54	8.09	37.3	0	0	0	8.64	0	0
ADAP2	14.8	30.3	19.57	0	0	0	0	0	0
ADAR	25.5	20.94	38.4	76.64	195.54	24.67	58.68	68.83	6.4
ADARB1	35.53	22.38	251.39	57.3	277.62	25.43	34.4	89.79	9.68
ADARB2	0	0	0	19.61	157.95	5.47	29.79	66.85	0
ADARB2-AS1	0	0	0	0	10.2	0	0	0	0
ADAT1	23.9	22.4	10.67	21.7	42.2	23.97	65.9	51.4	0
ADAT2	7.37	7.47	0	0	0	0	12.2	0	0
ADAT3	20.64	15.54	193	31.76	251.2	39.73	58.5	109.2	0
ADCK1	0	0	0	0	0	0	0	0	0
ADCK2	20.96	13.1	77.9	13.6	26.6	0	13.1	38.6	0
ADCK5	0	0	0	0	0	0	0	0	0
ADCY1	57.1	31.94	318.7	0	0	0	0	0	14.82
ADCY2	0	0	0	0	0	2.69	0	0	0
ADCY3	17.23	14.81	78.03	73.9	306.32	28.38	34.44	133.7	0
ADCY5	0	0	0	0	0	0	0	0	0
ADCY6	9.42	15.5	71.6	12.7	51.1	4.84	20.71	46.7	0
ADCY7	9.77	2.93	29.4	174.2	117.8	47.5	74.76	50.5	0
ADCY8	0	0	0	0	0	0	0	0	0
ADCY9	80.87	35.21	114	118.01	448.2	43.34	31.2	102.4	0
ADCYAP1	0	0	0	0	0	0	0	0	0
ADCYAP1R1	30.5	0	0	0	0	0	0	0	0
ADD1	5.51	5.35	0	0	0	0	13.96	0	0
ADD2	0	0	0	0	0	0	0	0	0
ADD3	4.41	2.93	0	0	0	0	0	0	0
ADD3-AS1	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0	0	0	7.95
ADGRA2	16.22	5.31	30.2	0	0	0	30.61	0	0
ADGRA3	28.3	15.7	19	225.6	59.9	37.1	67.6	54.6	0
ADGRB1	0	0	0	0	0	0	12.8	0	0
ADGRB2	23.72	23.01	116.84	0	0	0	23.37	0	0
ADGRB3	62.36	44.62	0	0	0	0	0	0	0
ADGRD1	0	0	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	0	0
ADGRE2	0	0	0	22.1	0	6.59	21.58	0	0
ADGRE5	4.43	0	0	29.2	103.06	10.1	21.18	23.6	0
ADGRF1	0	0	0	0	0	7.56	0	0	0
ADGRF2	0	0	0	0	0	9.93	0	0	0
ADGRF3	0	0	0	0	0	0	0	0	0
ADGRF4	0	0	0	0	0	0	0	0	0
ADGRG1	0	0	0	16.3	25.17	0	31.96	13.8	0
ADGRG2	0	0	0	0	0	0	0	0	0
ADGRG3	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	12.5	0	0	0
ADGRG5	0	0	0	0	0	0	0	0	0
ADGRG6	9.49	3.67	0	6.29	8.17	0	28.22	0	0
ADGRL1	37.94	28.25	107.28	11.2	31.33	0	32.31	0	9.58
ADGRL2	34.2	22.2	57.52	0	0	0	0	0	21.4
ADGRL3	43.03	42.4	30.88	0	0	0	0	0	7.95
ADGRV1	60.96	47.59	6.74	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	9.33	0	0	0
ADH5	4.15	5.92	2.98	0	3.75	0	30.5	0	0
ADI1	0	0	0	0	7.49	0	6.89	0	0
ADIPOQ	0	0	0	0	0	15.29	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0
ADIPOR1	4.76	3.31	0	8.15	28.73	0	8.4	7.35	13.1
ADIPOR2	17.19	14.09	0	106.6	88.5	12.57	24.49	45.9	15.2
ADIRF	0	0	0	10.3	28.6	0	18.94	0	0
ADK	2.94	3.12	0	0	0	0	18.04	0	0
ADM	10.3	20	6.7	10.2	24.5	0	9.96	0	0
ADM2	4	0	0	0	0	24.92	18.52	0	0
ADM5	0	0	0	0	0	0	0	0	0
ADNP	34.19	25.07	36.5	71.96	202.53	22.2	52.17	76.19	7.84
ADNP2	78.17	46.09	35	144.3	102.1	35.2	79.3	71	0
ADO	20.7	20.9	92.2	49.55	188	19.4	35.83	49.6	0
ADORA1	0	0	0	0	0	0	6.09	0	0
ADORA2A	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	0	0	0	0	0	0	0	0	0
ADORA2B	11.2	10.7	14.88	57.1	70.31	28.5	86.1	31.9	0
ADPGK	9.07	17.74	23.03	47.3	112.3	25.23	33.6	64	0
ADPGK-AS1	0	0	0	0	0	0	0	0	0
ADPRHL1	0	0	0	0	0	0	10.8	0	0
ADPRHL2	7.44	6.6	10.8	28.2	37.4	0	11.14	35.8	0
ADPRM	8.78	5.41	0	0	0	0	6.09	0	0
ADRA1A	0	0	0	0	0	16.8	0	0	0
ADRA1B	8.6	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	0	0	0	0	0	0
ADRA2C	43.7	18.21	463	0	23.51	0	37	0	0
ADRB1	10.2	0	0	0	0	0	32.9	0	0
ADRB2	55.1	34.98	4.05	14.3	8.85	0	87.9	12.1	0
ADRM1	0	0	0	0	39.1	0	6.88	19.4	0
ADSL	0	0	0	0	43.91	0	13.5	0	0
ADSS	3.83	3.54	0	0	13.6	0	2.29	0	0
ADSSL1	0	0	0	0	0	0	0	0	0
ADTRP	0	0	0	0	0	0	0	0	0
AEBP1	0	0	0	0	0	0	0	0	0
AEBP2	9.58	12.71	35.9	3.85	40.9	0	4.26	15.1	0
AEN	8.98	7.59	41.6	29.2	349.6	25	32.59	69.9	0
AES	0	0	0	11.8	99.55	7.34	2	0	0
AFAP1	20.9	9.57	27.8	27.2	265	11.2	21.01	70.4	0
AFAP1-AS1	0	0	0	0	79.33	15.5	0	0	0
AFAP1L1	0	0	0	0	0	0	0	0	0
AFAP1L2	21.6	30.7	0	0	0	0	0	0	0
AFDN	37.18	28.29	27.19	0	0	0	12.12	0	0
AFDN-AS1	0	0	0	0	0	0	0	0	0
AFF1	54.9	67.52	616.7	77.5	1031.4	35.15	93.27	105.9	0
AFF2	0	0	0	0	0	0	0	0	0
AFF3	24.44	4.9	11.3	0	0	5.18	0	0	0
AFF4	34.49	34.58	30.34	103.9	60.8	31.5	36.89	34.06	4.26
AFG3L1P	9.05	9.25	168	148.41	121	60.7	29.4	37.9	0
AFG3L2	8.76	8.39	24.4	14.9	35.79	0	18.3	45.9	0
AFMID	2.55	0	0	9.51	6.36	6.31	2.54	0	0
AFTPH	21.33	16.66	15.14	72.7	8.85	16.8	63.73	25.3	0
AGA	0	0	0	0	0	0	0	0	0
AGAP1	47.7	26.92	49.1	23.4	77.66	8.78	42.62	64.7	4.05
AGAP11	41.46	22.69	9.32	0	0	0	0	0	0
AGAP12P	0	0	0	0	0	0	8.78	0	0
AGAP2	41.6	14.2	112.32	0	23.8	0	38.1	19.6	4.09
AGAP2-AS1	21	11.7	85.9	11.2	23.8	0	26.92	25.7	0
AGAP3	31.35	25.14	67.11	19.8	124.88	26.3	29.45	74.6	0
AGAP5	15.41	11.1	19.1	0	0	0	0	0	0
AGAP6	44.64	19.12	37.8	0	0	0	41.6	0	0
AGAP7P	0	0	0	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0	0	0	0
AGBL3	0	0	0	0	0	0	0	0	0
AGBL5	7.1	4.54	0	4.7	0	0	9.1	0	0
AGER	0	0	0	0	0	0	0	0	0
AGFG1	1.95	1.9	0	0	0	0	0	0	0
AGFG2	0	0	0	0	10.2	0	0	0	0
AGGF1	7.71	5.82	0	0	0	0	0	0	0
AGK	3.1	2.18	0	5.44	12.9	0	9.51	0	0
AGL	0	0	0	0	0	0	0	0	0
AGMAT	9.9	11.6	0	0	0	13.55	2.38	0	0
AGMO	0	0	0	0	0	5.76	0	0	0
AGO1	3.04	4.5	0	0	17.39	16	6.52	0	0
AGO2	26.8	13.7	3.77	30.7	57.02	32.4	27.48	23.9	0
AGO3	7.96	6.3	0	0	0	0	5.33	0	0
AGO4	21.01	25.34	31.8	0	0	13.4	7.65	0	0
AGPAT1	6.28	0	0	0	12.82	0	4.63	0	0
AGPAT2	2.42	2.41	12.2	0	39.5	3.89	14.03	0	0
AGPAT3	22.77	20.35	7.71	29	66.7	9.21	32.3	37.76	0
AGPAT4	44.16	20.97	33.7	13.3	0	0	14.76	0	14.5
AGPAT5	10.03	14.14	0	18.7	0	0	18.79	10.5	0
AGPS	0	0	0	0	25.2	0	13.7	0	0
AGR2	0	0	0	0	0	0	0	0	0
AGRN	10.1	12.5	90.7	40.8	1084.5	12.52	23.23	66.5	0
AGT	0	0	0	0	0	0	0	0	0
AGTPBP1	16.61	19.78	3.47	0	0	0	35.1	0	4.7
AGTR1	21.6	0	0	0	0	0	0	0	0
AGTRAP	2.28	0	0	12.2	12.3	0	3.78	0	0
AHCTF1	36.21	19.14	2.39	33.11	15	14.7	21.41	9.95	0
AHCY	1.25	0	0	0	24.37	0	1.73	0	0
AHCYL1	0	0	0	0	42.2	0	0	0	0
AHCYL2	3.24	0	30.4	0	0	14.7	2.65	0	0
AHDC1	15.64	37.8	254.1	290.15	561.9	72.83	88	344.4	0
AHI1	21.18	15.7	11.2	46.2	0	7.05	12.1	0	0
AHNAK	151.54	149.03	160.93	357.26	1051.77	83.09	146.71	395.69	0
AHNAK2	162.07	101.7	296.75	141.4	583.52	43.69	323.01	128.04	0
AHR	13.9	14.29	9.38	20	15.7	27.21	34.8	22.94	0
AHRR	62.58	74.35	195.3	241.48	2373.6	43.81	57.29	139.9	0
AHSA1	3.18	2.76	4.2	3.99	136.81	0	17	30.5	0
AHSA2	8.49	6.07	14.62	0	43.63	0	6.12	0	0
AHSP	0	0	0	0	0	0	0	0	0
AICDA	0	0	0	0	0	3.02	0	0	0
AIDA	4.66	3.3	0	0	0	0	5.38	0	0
AIF1	0	0	0	0	0	0	0	0	0
AIF1L	0	0	0	0	0	0	0	0	0
AIFM1	0	0	0	0	15.7	2.75	0	0	0
AIFM2	7.91	4.1	0	9.17	14.51	10.4	15.09	19.3	0
AIFM3	0	0	0	0	0	0	0	0	0
AIG1	8.54	6.67	0	0	0	0	0	0	0
AIM1	9.64	0	0	0	0	0	12.69	0	0
AIM1L	0	0	0	0	0	0	0	0	0
AIMP1	5.29	0	0	0	0	0	0	0	0
AIMP2	4.48	3.33	9.82	0	21.92	0	4.67	0	0
AIP	0	0	0	0	29.62	0	0	0	0
AIPL1	0	0	0	0	0	5.56	0	0	0
AIRE	0	0	0	0	0	3.58	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0
AJUBA	38.56	25.82	169.56	45.5	153.2	8.67	81.07	109	0
AK1	0	0	0	0	21.38	4.32	12.86	0	0
AK2	17.09	16.9	27.7	72.09	26.77	15.7	98.5	44.6	0
AK3	6.82	3.19	0	0	0	18.6	8.01	0	0
AK4	3.88	0	0	0	0	0	0	0	0
AK5	0	0	0	0	0	0	0	0	0
AK6	0	0	0	0	0	0	2.47	0	0
AK7	0	0	0	0	0	0	0	0	0
AK8	0	0	0	0	0	0	0	0	0
AK9	0	0	0	0	0	0	0	0	0
AKAP1	16.86	15.73	149.02	28.96	102.9	0	58.86	195.3	0
AKAP10	18.73	20.21	14.06	31.4	15	38.9	38.85	23.6	0
AKAP11	31.94	24.43	14.34	13.3	0	0	12.12	0	5.01
AKAP12	35.45	27.35	55.72	0	0	0	0	0	0
AKAP13	88.15	46.43	56.81	288.63	303.87	33.63	150.98	128.67	0
AKAP2	0	0	0	0	0	0	0	0	0
AKAP3	27.52	9.57	0	0	0	0	0	0	0
AKAP5	41.74	33.1	9.03	0	0	26.8	0	0	0
AKAP6	86.21	36.68	0	0	0	0	0	0	0
AKAP7	13.06	18.21	0	0	0	0	0	0	0
AKAP8	18.44	13.67	36.1	30.2	98.43	0	26.52	10.5	0
AKAP8L	0	0	0	0	56.43	0	4.33	0	0
AKAP9	56.9	42.68	6.46	42.08	0	13.4	15.76	33.7	0
AKIP1	3.68	3.04	12.3	0	17	6.91	11.47	0	0
AKIRIN1	2.58	1.58	0	0	0	0	0	0	0
AKIRIN2	15.9	2.26	12	0	7.83	0	7.04	0	0
AKNA	16.9	16.9	0	0	13.6	0	5.95	0	0
AKNAD1	0	0	0	0	0	0	0	0	0
AKR1A1	0	0	0	0	0	0	18.1	0	0
AKR1B1	0	0	0	17.02	122.09	0	13.5	0	0
AKR1B10	0	0	0	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0	0	0	0
AKR1C1	0	0	0	0	0	0	0	0	0
AKR1C2	0	0	0	0	0	6.91	0	0	0
AKR1C3	0	0	0	0	0	0	6.23	0	0
AKR1D1	0	0	0	0	0	5.52	0	0	0
AKR1E2	0	0	0	0	0	0	0	0	0
AKR7A2	0	0	0	0	0	0	2.38	0	0
